Tip matrice,Matrice convolutie,Nume functie,Nr. Threads,Timp executie
10x10,3x3,secvential,4,0.65551
1000x1000,5x5,secvential,1,83.38488
1000x1000,5x5,secvential,2,83.38709
1000x1000,5x5,secvential,4,86.09231
1000x1000,5x5,secvential,8,84.57714
1000x1000,5x5,secvential,16,85.16325
1000x1000,5x5,linii,16,58.22692
1000x1000,5x5,linii,8,41.06453
1000x1000,5x5,linii,4,47.81864
1000x1000,5x5,linii,2,67.02282
1000x1000,5x5,coloane,2,67.26025
1000x1000,5x5,coloane,4,47.9194
1000x1000,5x5,coloane,8,46.43628
1000x1000,5x5,coloane,16,55.07418
1000x1000,5x5,vectorizare,2,61.16882
1000x1000,5x5,vectorizare,4,46.27811
1000x1000,5x5,vectorizare,8,45.27909
1000x1000,5x5,vectorizare,16,57.44476
10x10000,5x5,secvential,2,24.83873
10x10000,5x5,linii,2,38.54458
10x10000,5x5,linii,4,44.93949
10x10000,5x5,linii,8,55.21496
10x10000,5x5,linii,16,67.05475
10x10000,5x5,coloane,2,20.80734
10x10000,5x5,coloane,4,23.68648
10x10000,5x5,coloane,8,43.95852
10x10000,5x5,coloane,16,82.19687
10x10000,5x5,vectorizare,2,38.21984
10x10000,5x5,vectorizare,4,41.11293
10x10000,5x5,vectorizare,8,63.62887
10x10000,5x5,vectorizare,16,70.45356
10000x10,5x5,secvential,2,20.58594
10000x10,5x5,linii,2,20.05511
10000x10,5x5,linii,4,23.27159
10000x10,5x5,linii,8,47.98389
10000x10,5x5,linii,16,69.74874
10000x10,5x5,coloane,2,38.98058
10000x10,5x5,coloane,4,46.53554
10000x10,5x5,coloane,8,53.53507
10000x10,5x5,coloane,16,74.14053
10000x10,5x5,vectorizare,2,20.51433
10000x10,5x5,vectorizare,4,20.49388
10000x10,5x5,vectorizare,8,43.83924
10000x10,5x5,vectorizare,16,68.57004
10000x10000,5x5,secvential,2,7431.95264
10000x10000,5x5,linii,2,6182.37159
10000x10000,5x5,linii,4,3480.21846
1000x1000,5x5,linii,4,56.56166
10x10,3x3,linii,2,1.42879
